Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,256,128,1
100,2,8,2378,128,0
100,5,1,4729,1024,1
100,4,8,4004,128,1
100,6,2,4729,512,2
100,7,4,4473,256,3
100,8,8,4345,128,5
100,9,16,4281,64,9
100,10,32,4217,32,16
100,11,32,4217,32,16
100,12,32,4217,32,16
100,13,32,4217,32,16
100,14,32,4217,32,16
228,1,8,256,128,1
228,2,8,2378,128,0
228,5,1,5753,1024,2
228,4,8,4388,128,1
228,6,2,5241,512,3
228,7,4,4985,256,5
228,8,8,4985,128,10
228,9,16,4921,64,19
228,10,32,4921,32,38
228,11,32,4921,32,38
228,12,32,4921,32,38
228,13,32,4921,32,38
228,14,32,4889,32,37
362,1,8,256,128,1
362,2,8,2378,128,0
362,5,1,5753,1024,2
362,4,8,4790,128,1
362,6,2,5753,512,4
362,7,4,5753,256,8
362,8,8,5753,128,16
362,9,16,5689,64,31
362,10,32,5657,32,61
362,11,32,5625,32,60
362,12,32,5625,32,60
362,13,32,5625,32,60
362,14,32,5625,32,60
490,1,8,256,128,1
490,2,8,2378,128,0
490,5,1,6777,1024,3
490,4,8,5174,128,1
490,6,2,6777,512,6
490,7,4,6521,256,11
490,8,8,6393,128,21
490,9,16,6329,64,41
490,10,32,6329,32,82
490,11,32,6329,32,82
490,12,32,6329,32,82
490,13,32,6297,32,81
490,14,32,6297,32,81
623,1,8,256,128,1
623,2,8,2378,128,0
623,5,1,7801,1024,4
623,4,8,5573,128,1
623,6,2,7289,512,7
623,7,4,7289,256,14
623,8,8,7033,128,26
623,9,16,7033,64,52
623,10,32,7033,32,104
623,11,32,7033,32,104
623,12,32,7033,32,104
623,13,32,7033,32,104
623,14,32,7033,32,104
751,1,8,256,128,1
751,2,8,2378,128,0
751,5,1,7801,1024,4
751,4,8,5957,128,1
751,6,2,7801,512,8
751,7,4,7801,256,16
751,8,8,7801,128,32
751,9,16,7737,64,63
751,10,32,7737,32,126
751,11,32,7737,32,126
751,12,32,7737,32,126
751,13,32,7705,32,125
751,14,32,7705,32,125
882,1,8,256,128,1
882,2,8,2378,128,0
882,5,1,8825,1024,5
882,4,8,6350,128,1
882,6,2,8825,512,10
882,7,4,8569,256,19
882,8,8,8441,128,37
882,9,16,8441,64,74
882,10,32,8441,32,148
882,11,32,8441,32,148
882,12,32,8409,32,147
882,13,32,8409,32,147
882,14,32,8409,32,147
1010,1,8,256,128,1
1010,2,8,2378,128,0
1010,5,1,9849,1024,6
1010,4,8,6734,128,1
1010,6,2,9337,512,11
1010,7,4,9337,256,22
1010,8,8,9209,128,43
1010,9,16,9145,64,85
1010,10,32,9113,32,169
1010,11,32,9113,32,169
1010,12,32,9113,32,169
1010,13,32,9081,32,168
1010,14,32,9081,32,168
1143,1,8,256,128,1
1143,2,8,2378,128,0
1143,5,1,9849,1024,6
1143,4,8,7133,128,1
1143,6,2,9849,512,12
1143,7,4,9849,256,24
1143,8,8,9849,128,48
1143,9,16,9849,64,96
1143,10,32,9849,32,192
1143,11,32,9849,32,192
1143,12,32,9817,32,191
1143,13,32,9817,32,191
1143,14,32,9817,32,191
1271,1,8,256,128,1
1271,2,8,2378,128,0
1271,5,1,10873,1024,7
1271,4,8,7517,128,1
1271,6,2,10873,512,14
1271,7,4,10617,256,27
1271,8,8,10617,128,54
1271,9,16,10553,64,107
1271,10,32,10521,32,213
1271,11,32,10521,32,213
1271,12,32,10489,32,212
1271,13,32,10489,32,212
1271,14,32,10489,32,212
1404,1,8,256,128,1
1404,2,8,2378,128,0
1404,5,1,11897,1024,8
1404,4,8,7916,128,1
1404,6,2,11385,512,15
1404,7,4,11385,256,30
1404,8,8,11257,128,59
1404,9,16,11257,64,118
1404,10,32,11225,32,235
1404,11,32,11225,32,235
1404,12,32,11225,32,235
1404,13,32,11225,32,235
1404,14,32,11193,32,234
1532,1,8,256,128,1
1532,2,8,2378,128,0
1532,5,1,12921,1024,9
1532,4,8,8300,128,1
1532,6,2,12409,512,17
1532,7,4,12153,256,33
1532,8,8,12025,128,65
1532,9,16,11897,64,128
1532,10,32,11897,32,256
1532,11,32,11897,32,256
1532,12,32,11897,32,256
1532,13,32,11897,32,256
1532,14,32,11897,32,256
1665,1,8,256,128,1
1665,2,8,2378,128,0
1665,5,1,12921,1024,9
1665,4,8,8699,128,1
1665,6,2,12921,512,18
1665,7,4,12665,256,35
1665,8,8,12665,128,70
1665,9,16,12665,64,140
1665,10,32,12633,32,279
1665,11,32,12633,32,279
1665,12,32,12633,32,279
1665,13,32,12601,32,278
1665,14,32,12601,32,278
1798,1,8,256,128,1
1798,2,8,2378,128,0
1798,5,1,13945,1024,10
1798,4,8,9098,128,1
1798,6,2,13433,512,19
1798,7,4,13433,256,38
1798,8,8,13433,128,76
1798,9,16,13369,64,151
1798,10,32,13337,32,301
1798,11,32,13337,32,301
1798,12,32,13337,32,301
1798,13,32,13337,32,301
1798,14,32,13305,32,300
1926,1,8,256,128,1
1926,2,8,2378,128,0
1926,5,1,14969,1024,11
1926,4,8,9482,128,1
1926,6,2,14457,512,21
1926,7,4,14201,256,41
1926,8,8,14073,128,81
1926,9,16,14073,64,162
1926,10,32,14009,32,322
1926,11,32,14009,32,322
1926,12,32,14009,32,322
1926,13,32,14009,32,322
1926,14,32,14009,32,322
2057,1,8,256,128,1
2057,2,8,2378,128,0
2057,5,1,14969,1024,11
2057,4,8,9875,128,1
2057,6,2,14969,512,22
2057,7,4,14969,256,44
2057,8,8,14841,128,87
2057,9,16,14777,64,173
2057,10,32,14713,32,344
2057,11,32,14713,32,344
2057,12,32,14713,32,344
2057,13,32,14713,32,344
2057,14,32,14713,32,344
2185,1,8,256,128,1
2185,2,8,2378,128,0
2185,5,1,15993,1024,12
2185,4,8,10259,128,1
2185,6,2,15481,512,23
2185,7,4,15481,256,46
2185,8,8,15481,128,92
2185,9,16,15417,64,183
2185,10,32,15417,32,366
2185,11,32,15417,32,366
