Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,256,128,1
100,2,8,2346,128,0
100,5,1,4707,1024,1
100,4,8,4055,128,1
100,6,2,4707,512,2
100,7,4,4451,256,3
100,8,8,4323,128,5
100,9,16,4323,64,10
100,10,32,4323,32,20
100,11,32,4323,32,20
100,12,32,4323,32,20
100,13,32,4307,32,17
100,14,32,4307,32,17
228,1,8,256,128,1
228,2,8,2346,128,0
228,5,1,5731,1024,2
228,4,8,4439,128,1
228,6,2,5219,512,3
228,7,4,5219,256,6
228,8,8,5091,128,11
228,9,16,5027,64,21
228,10,32,4995,32,41
228,11,32,4995,32,41
228,12,32,4995,32,41
228,13,32,5011,32,39
228,14,32,4979,32,38
359,1,8,256,128,1
359,2,8,2346,128,0
359,5,1,5731,1024,2
359,4,8,4832,128,1
359,6,2,5731,512,4
359,7,4,5731,256,8
359,8,8,5731,128,16
359,9,16,5731,64,32
359,10,32,5731,32,64
359,11,32,5699,32,63
359,12,32,5699,32,63
359,13,32,5715,32,61
359,14,32,5715,32,61
487,1,8,256,128,1
487,2,8,2346,128,0
487,5,1,6755,1024,3
487,4,8,5216,128,1
487,6,2,6755,512,6
487,7,4,6499,256,11
487,8,8,6499,128,22
487,9,16,6435,64,43
487,10,32,6403,32,85
487,11,32,6371,32,84
487,12,32,6371,32,84
487,13,32,6387,32,82
487,14,32,6387,32,82
621,1,8,256,128,1
621,2,8,2346,128,0
621,5,1,7779,1024,4
621,4,8,5618,128,1
621,6,2,7267,512,7
621,7,4,7267,256,14
621,8,8,7139,128,27
621,9,16,7139,64,54
621,10,32,7107,32,107
621,11,32,7107,32,107
621,12,32,7107,32,107
621,13,32,7123,32,105
621,14,32,7091,32,104
749,1,8,256,128,1
749,2,8,2346,128,0
749,5,1,8803,1024,5
749,4,8,6002,128,1
749,6,2,8291,512,9
749,7,4,8035,256,17
749,8,8,7907,128,33
749,9,16,7779,64,64
749,10,32,7779,32,128
749,11,32,7779,32,128
749,12,32,7779,32,128
749,13,32,7795,32,126
749,14,32,7795,32,126
882,1,8,256,128,1
882,2,8,2346,128,0
882,5,1,8803,1024,5
882,4,8,6401,128,1
882,6,2,8803,512,10
